target,trial,is_best_for_target,val_mae,val_wmae,best_iteration,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,reg_alpha,reg_lambda,use_sample_weights,weight_alpha,weight_p,weight_clip_max
target_bow_f1__full,1,0,0.027864522236359764,,110,800,6,0.1,0.8,1.0,5,0.0,0.1,0.5,0,5.0,2.0,50.0
target_bow_f1__full,2,0,0.03599977152375988,,194,1200,4,0.03,0.6,0.8,5,0.3,0.5,1.0,0,5.0,2.0,50.0
target_bow_f1__full,3,0,0.02848955541193671,,249,800,3,0.03,0.6,0.8,5,0.0,0.0,1.0,0,5.0,2.0,50.0
target_bow_f1__full,4,0,0.03460423815545433,,22,1600,7,0.1,1.0,1.0,1,0.3,0.0,0.5,0,5.0,2.0,50.0
target_bow_f1__full,5,0,0.03507620260556077,,350,800,3,0.03,0.8,0.6,1,0.3,0.5,0.5,0,5.0,2.0,50.0
target_bow_f1__full,6,0,0.02801379952376596,,399,400,4,0.01,0.8,0.6,5,0.0,0.0,1.0,0,5.0,2.0,50.0
target_bow_f1__full,7,0,0.031017522204483974,,285,1600,7,0.01,1.0,1.0,1,0.1,0.1,1.0,0,5.0,2.0,50.0
target_bow_f1__full,8,0,0.03480217224059915,,144,600,7,0.1,0.8,0.6,5,0.3,0.1,1.0,0,5.0,2.0,50.0
target_bow_f1__full,9,0,0.030876683845293032,,271,1000,6,0.01,1.0,0.8,10,0.1,0.0,0.5,0,5.0,2.0,50.0
target_bow_f1__full,10,0,0.034998596728644506,,185,600,7,0.05,0.6,0.8,1,0.3,0.0,2.0,0,5.0,2.0,50.0
target_bow_f1__full,11,0,0.027589650772869102,,390,1200,6,0.01,1.0,0.8,1,0.0,0.0,1.0,0,5.0,2.0,50.0
target_bow_f1__full,12,0,0.027959337312133965,,258,1600,4,0.03,0.6,1.0,1,0.0,0.0,0.5,0,5.0,2.0,50.0
target_bow_f1__full,13,0,0.03471173636375807,,117,600,3,0.05,0.8,0.8,1,0.3,0.1,0.5,0,5.0,2.0,50.0
target_bow_f1__full,14,0,0.03535586971420633,,119,1600,7,0.02,1.0,0.6,10,0.3,0.5,0.5,0,5.0,2.0,50.0
target_bow_f1__full,15,0,0.035521188716567155,,21,800,6,0.1,1.0,1.0,3,0.3,0.5,2.0,0,5.0,2.0,50.0
target_bow_f1__full,16,0,0.02752413659537521,,166,1000,7,0.03,0.6,0.8,3,0.0,0.0,0.5,0,5.0,2.0,50.0
target_bow_f1__full,17,0,0.027166806144397544,,117,600,6,0.05,0.8,1.0,1,0.0,0.1,2.0,0,5.0,2.0,50.0
target_bow_f1__full,18,0,0.030954013448098932,,36,1000,4,0.1,1.0,0.6,1,0.1,0.1,2.0,0,5.0,2.0,50.0
target_bow_f1__full,19,0,0.02768385908004267,,81,1000,7,0.05,0.6,1.0,5,0.0,0.1,0.5,0,5.0,2.0,50.0
target_bow_f1__full,20,0,0.031020299349214797,,146,1200,6,0.02,1.0,1.0,3,0.1,0.1,2.0,0,5.0,2.0,50.0
target_bow_f1__full,21,0,0.034885722492193766,,218,1600,3,0.05,0.8,1.0,5,0.3,0.0,2.0,0,5.0,2.0,50.0
target_bow_f1__full,22,0,0.030843197613291597,,65,1200,3,0.05,1.0,0.6,5,0.1,0.1,2.0,0,5.0,2.0,50.0
target_bow_f1__full,23,0,0.028366867460281355,,280,1000,3,0.03,0.8,0.8,10,0.0,0.0,1.0,0,5.0,2.0,50.0
target_bow_f1__full,24,0,0.031724895091658184,,298,800,7,0.01,1.0,1.0,1,0.1,0.5,0.5,0,5.0,2.0,50.0
target_bow_f1__full,25,0,0.03088172714133714,,588,800,3,0.01,0.8,0.6,1,0.1,0.1,0.5,0,5.0,2.0,50.0
target_bow_f1__full,26,0,0.02830812722100873,,206,1600,6,0.02,0.6,0.8,1,0.0,0.5,1.0,0,5.0,2.0,50.0
target_bow_f1__full,27,0,0.03501984313001546,,25,600,3,0.1,1.0,0.6,10,0.3,0.0,0.5,0,5.0,2.0,50.0
target_bow_f1__full,28,0,0.034690775403731756,,119,600,4,0.02,1.0,0.6,5,0.3,0.1,2.0,0,5.0,2.0,50.0
target_bow_f1__full,29,0,0.031237626619090863,,231,1000,6,0.03,0.8,0.6,3,0.1,0.5,2.0,0,5.0,2.0,50.0
target_bow_f1__full,30,0,0.030183201423698215,,30,800,7,0.1,1.0,0.6,10,0.1,0.0,2.0,0,5.0,2.0,50.0
