target,model_name,feature_set,n_features,n_train,n_val,val_mae,val_wmae,best_iteration,params_json,notes
target_bow_f1,baseline_constant_mean,none,0,1381,346,0.0660471449053073,,,"{""mean"": 0.870671181047483}",Predicts global mean over all non-NaN rows.
target_bow_f1,xgb_hpo_full,full,83,1381,346,0.02693875337922509,,148,"{""n_estimators"": 400, ""learning_rate"": 0.03, ""max_depth"": 7, ""subsample"": 0.8, ""colsample_bytree"": 0.6, ""objective"": ""reg:squarederror"", ""tree_method"": ""hist"", ""n_jobs"": 10, ""reg_lambda"": 2.0, ""reg_alpha"": 0.1, ""random_state"": 42, ""eval_metric"": ""mae"", ""colsample_bynode"": 0.8, ""min_child_weight"": 3, ""gamma"": 0.0}",
target_bow_precision,baseline_constant_mean,none,0,1381,346,0.07904526068287508,,,"{""mean"": 0.8457667275748122}",Predicts global mean over all non-NaN rows.
target_bow_precision,xgb_hpo_full,full,83,1381,346,0.03305515858940936,,340,"{""n_estimators"": 400, ""learning_rate"": 0.02, ""max_depth"": 5, ""subsample"": 0.6, ""colsample_bytree"": 0.8, ""objective"": ""reg:squarederror"", ""tree_method"": ""hist"", ""n_jobs"": 10, ""reg_lambda"": 0.5, ""reg_alpha"": 0.0, ""random_state"": 42, ""eval_metric"": ""mae"", ""colsample_bynode"": 0.5, ""min_child_weight"": 1, ""gamma"": 0.0}",
target_bow_recall,baseline_constant_mean,none,0,1381,346,0.052805881578982375,,,"{""mean"": 0.9042649324234231}",Predicts global mean over all non-NaN rows.
target_bow_recall,xgb_hpo_full,full,83,1381,346,0.025321083260572776,,185,"{""n_estimators"": 1000, ""learning_rate"": 0.05, ""max_depth"": 6, ""subsample"": 0.8, ""colsample_bytree"": 1.0, ""objective"": ""reg:squarederror"", ""tree_method"": ""hist"", ""n_jobs"": 10, ""reg_lambda"": 0.5, ""reg_alpha"": 0.5, ""random_state"": 42, ""eval_metric"": ""mae"", ""colsample_bynode"": 0.5, ""min_child_weight"": 1, ""gamma"": 0.0}",
target_map50_line,baseline_constant_mean,none,0,1381,346,0.04759370732855524,,,"{""mean"": 0.9616207407979845}",Predicts global mean over all non-NaN rows.
target_map50_line,xgb_hpo_full,full,83,1381,346,0.034586646141999536,,135,"{""n_estimators"": 1000, ""learning_rate"": 0.02, ""max_depth"": 6, ""subsample"": 0.6, ""colsample_bytree"": 0.6, ""objective"": ""reg:squarederror"", ""tree_method"": ""hist"", ""n_jobs"": 10, ""reg_lambda"": 1.0, ""reg_alpha"": 0.5, ""random_state"": 42, ""eval_metric"": ""mae"", ""colsample_bynode"": 0.8, ""min_child_weight"": 3, ""gamma"": 0.0}",
target_perm_cer_htr_only,baseline_constant_mean,none,0,1375,344,0.09980740624213266,,,"{""mean"": 0.13519491560403807}",Predicts global mean over all non-NaN rows.
target_perm_cer_htr_only,xgb_hpo_full,full,83,1375,344,0.030925222207018134,,153,"{""n_estimators"": 800, ""learning_rate"": 0.03, ""max_depth"": 5, ""subsample"": 0.6, ""colsample_bytree"": 1.0, ""objective"": ""reg:squarederror"", ""tree_method"": ""hist"", ""n_jobs"": 10, ""reg_lambda"": 2.0, ""reg_alpha"": 0.0, ""random_state"": 42, ""eval_metric"": ""mae"", ""colsample_bynode"": 0.5, ""min_child_weight"": 1, ""gamma"": 0.0}",
