feature,gain,gain_norm,weight,weight_norm,cover,cover_norm,corr_with_target
htr_token_score_hist_bin_9,1.0714102983474731,0.13242442677750235,144.0,0.02330097087378641,669.4027709960938,0.011498351518111013,0.761583510837954
htr_token_score_mean,0.9079045653343201,0.11221540601067,68.0,0.011003236245954692,604.0294189453125,0.010375431484961804,0.6583913023552476
htr_token_score_hist_bin_6,0.42056623101234436,0.05198124579321735,117.0,0.018932038834951457,699.974365234375,0.012023480711253936,-0.4528980124252839
htr_line_score_hist_bin_9,0.40393710136413574,0.049925914642425455,43.0,0.0069579288025889965,354.4186096191406,0.0060878591104380425,0.6059779522996809
htr_token_score_hist_bin_8,0.32820820808410645,0.04056595674527801,202.0,0.03268608414239482,582.3564453125,0.010003154165431133,-0.5376454134402047
htr_token_score_hist_bin_7,0.2553985118865967,0.03156680646860935,75.0,0.012135922330097087,619.4000244140625,0.01063945283710365,-0.47475958699157994
line_spacing_cv,0.23571914434432983,0.02913447128371522,67.0,0.010841423948220064,531.2835693359375,0.00912587383964827,-0.4789810356040151
page_line_spacing_cv,0.1978783756494522,0.024457418887478054,109.0,0.017637540453074432,600.8623657226562,0.010321030916561886,-0.2652707523952344
htr_token_score_max,0.1754286140203476,0.021682667870420353,166.0,0.02686084142394822,443.3072204589844,0.007614701450621693,0.23013305889148694
htr_line_score_mean,0.13835541903972626,0.017100486234037416,57.0,0.009223300970873786,385.2982482910156,0.006618279592075914,0.631725473509937
line_word_count_min,0.1153126135468483,0.014252436039404858,4.0,0.0006472491909385113,143.75,0.002469198070795114,-0.17848299559200542
reading_order_inversions,0.10210903733968735,0.012620497263621968,26.0,0.004207119741100324,723.0384521484375,0.01241965322543031,-0.11208491645979397
line_conf_cv,0.08972818404436111,0.011090245591429989,27.0,0.004368932038834952,217.70370483398438,0.0037395030816071173,-0.3332569655995071
htr_line_score_max,0.08962098509073257,0.011076995989473294,97.0,0.0156957928802589,494.45361328125,0.008493244577472945,0.49038554698745634
region_conf_mean,0.08818810433149338,0.010899894450057976,97.0,0.0156957928802589,352.7938232421875,0.006059950106003769,0.3670704964304074
htr_token_score_hist_bin_5,0.08434422314167023,0.010424797501719636,73.0,0.011812297734627832,460.4246520996094,0.007908728088423422,-0.5513421537058878
region_overlap_count,0.0765596404671669,0.00946263678703995,61.0,0.009870550161812298,569.7705078125,0.009786965138689234,-0.15349150501599051
