target,model_name,feature_set,n_features,n_train,n_val,val_mae,val_wmae,best_iteration,params_json,notes
target_bow_f1,baseline_constant_mean,none,0,1343,336,0.1102335657804605,,,"{""mean"": 0.8375047217778815}",Predicts global mean over all non-NaN rows.
target_bow_f1,xgb_hpo_full,full,140,1343,336,0.04796914206388434,,103,"{""n_estimators"": 1600, ""learning_rate"": 0.05, ""max_depth"": 6, ""subsample"": 0.6, ""colsample_bytree"": 0.6, ""objective"": ""reg:squarederror"", ""tree_method"": ""hist"", ""n_jobs"": 10, ""reg_lambda"": 0.5, ""reg_alpha"": 0.0, ""random_state"": 42, ""eval_metric"": ""mae"", ""colsample_bynode"": 0.5, ""min_child_weight"": 5, ""gamma"": 0.0}",
target_bow_precision,baseline_constant_mean,none,0,1343,336,0.09389440155591394,,,"{""mean"": 0.8397997443249366}",Predicts global mean over all non-NaN rows.
target_bow_precision,xgb_hpo_full,full,140,1343,336,0.04262291176298262,,883,"{""n_estimators"": 1600, ""learning_rate"": 0.02, ""max_depth"": 3, ""subsample"": 0.8, ""colsample_bytree"": 0.6, ""objective"": ""reg:squarederror"", ""tree_method"": ""hist"", ""n_jobs"": 10, ""reg_lambda"": 1.0, ""reg_alpha"": 0.5, ""random_state"": 42, ""eval_metric"": ""mae"", ""colsample_bynode"": 1.0, ""min_child_weight"": 1, ""gamma"": 0.0}",
target_bow_recall,baseline_constant_mean,none,0,1343,336,0.1123796094088167,,,"{""mean"": 0.8612375646681797}",Predicts global mean over all non-NaN rows.
target_bow_recall,xgb_hpo_full,full,140,1343,336,0.05130784313435005,,612,"{""n_estimators"": 1200, ""learning_rate"": 0.02, ""max_depth"": 7, ""subsample"": 0.6, ""colsample_bytree"": 0.8, ""objective"": ""reg:squarederror"", ""tree_method"": ""hist"", ""n_jobs"": 10, ""reg_lambda"": 1.0, ""reg_alpha"": 0.5, ""random_state"": 42, ""eval_metric"": ""mae"", ""colsample_bynode"": 0.8, ""min_child_weight"": 10, ""gamma"": 0.0}",
target_map50_line,baseline_constant_mean,none,0,1343,336,0.21601640835441613,,,"{""mean"": 0.7956964235156061}",Predicts global mean over all non-NaN rows.
target_map50_line,xgb_hpo_full,full,140,1343,336,0.12120421578667318,,349,"{""n_estimators"": 400, ""learning_rate"": 0.02, ""max_depth"": 7, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""objective"": ""reg:squarederror"", ""tree_method"": ""hist"", ""n_jobs"": 10, ""reg_lambda"": 1.0, ""reg_alpha"": 0.0, ""random_state"": 42, ""eval_metric"": ""mae"", ""colsample_bynode"": 0.5, ""min_child_weight"": 10, ""gamma"": 0.1}",
target_perm_cer_htr_only,baseline_constant_mean,none,0,1336,334,0.1214960127353513,,,"{""mean"": 0.15673683957708612}",Predicts global mean over all non-NaN rows.
target_perm_cer_htr_only,xgb_hpo_full,full,140,1336,334,0.0469788209834142,,202,"{""n_estimators"": 600, ""learning_rate"": 0.02, ""max_depth"": 7, ""subsample"": 0.8, ""colsample_bytree"": 0.6, ""objective"": ""reg:squarederror"", ""tree_method"": ""hist"", ""n_jobs"": 10, ""reg_lambda"": 2.0, ""reg_alpha"": 0.0, ""random_state"": 42, ""eval_metric"": ""mae"", ""colsample_bynode"": 1.0, ""min_child_weight"": 1, ""gamma"": 0.0}",
